Annotation validation issues (280):
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-aml_sar_reporting_uk-constrainttemplate.yaml betting.aml_sar_reporting_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-au_iga_no_prohibited_services-constrainttemplate.yaml betting.au_iga_no_prohibited_services
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-complaints_process_published-constrainttemplate.yaml betting.complaints_process_published
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-credit_card_gambling_ban_uk-constrainttemplate.yaml betting.credit_card_gambling_ban_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-data-integrity-audits-constrainttemplate.yaml betting.data_integrity_audits
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-deposit-limit-controls-constrainttemplate.yaml betting.deposit_limit_controls
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-deposit_limit_controls-constrainttemplate.yaml betting.deposit_limit_controls
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-game_rules_visible_before_play-constrainttemplate.yaml betting.game_rules_visible_before_play
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-geofencing-regulated-markets-constrainttemplate.yaml betting.geofencing_regulated_markets
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-geofencing_regulated_markets-constrainttemplate.yaml betting.geofencing_regulated_markets
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-in-play-delay-controls-constrainttemplate.yaml betting.in_play_delay_controls
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-kyc-onboarding-constrainttemplate.yaml betting.kyc_onboarding
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-kyc_on_withdrawal-constrainttemplate.yaml betting.kyc_on_withdrawal
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license-check-adm-it-constrainttemplate.yaml betting.license_check_adm_it
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_adm_it-constrainttemplate.yaml betting.license_check_adm_it
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_agco_on-constrainttemplate.yaml betting.license_check_agco_on
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license-check-anj-fr-constrainttemplate.yaml betting.license_check_anj_fr
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_anj_fr-constrainttemplate.yaml betting.license_check_anj_fr
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_ca_on_igaming-constrainttemplate.yaml betting.license_check_ca_on_igaming
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license-check-dgoj-es-constrainttemplate.yaml betting.license_check_dgoj_es
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_dgoj_es-constrainttemplate.yaml betting.license_check_dgoj_es
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_ggl_de-constrainttemplate.yaml betting.license_check_ggl_de
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_ksa_nl-constrainttemplate.yaml betting.license_check_ksa_nl
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_mga-constrainttemplate.yaml betting.license_check_mga
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_spelinspektionen_se-constrainttemplate.yaml betting.license_check_spelinspektionen_se
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_spillemyndigheden_dk-constrainttemplate.yaml betting.license_check_spillemyndigheden_dk
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license-check-ukgc-constrainttemplate.yaml betting.license_check_ukgc
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_ukgc-constrainttemplate.yaml betting.license_check_ukgc
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license-check-us-co-division-constrainttemplate.yaml betting.license_check_us_co_division
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license-check-us-nj-dge-constrainttemplate.yaml betting.license_check_us_nj_dge
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_us_nj_dge-constrainttemplate.yaml betting.license_check_us_nj_dge
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license-check-us-nv-ngcb-constrainttemplate.yaml betting.license_check_us_nv_ngcb
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_us_nv_ngcb-constrainttemplate.yaml betting.license_check_us_nv_ngcb
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license-check-us-pa-pgcb-constrainttemplate.yaml betting.license_check_us_pa_pgcb
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-license_check_us_pa_pgcb-constrainttemplate.yaml betting.license_check_us_pa_pgcb
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-loss_limit_controls-constrainttemplate.yaml betting.loss_limit_controls
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-market-restrictions-youth-constrainttemplate.yaml betting.market_restrictions_youth
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-match-fixing-monitoring-constrainttemplate.yaml betting.match_fixing_monitoring
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-no-bets-by-participants-constrainttemplate.yaml betting.no_bets_by_participants
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-official-data-only-constrainttemplate.yaml betting.official_data_only
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-ongoing_aml_monitoring-constrainttemplate.yaml betting.ongoing_aml_monitoring
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-player_funds_segregation-constrainttemplate.yaml betting.player_funds_segregation
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-reality_checks_elapsed_time-constrainttemplate.yaml betting.reality_checks_elapsed_time
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-reverse_withdrawal_ban_uk-constrainttemplate.yaml betting.reverse_withdrawal_ban_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-rng_certification_gli11-constrainttemplate.yaml betting.rng_certification_gli11
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-rtp_disclosure_to_players-constrainttemplate.yaml betting.rtp_disclosure_to_players
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-safer_gambling_interactions-constrainttemplate.yaml betting.safer_gambling_interactions
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-sanctions_screening_global-constrainttemplate.yaml betting.sanctions_screening_global
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-self_exclusion_de_oasis-constrainttemplate.yaml betting.self_exclusion_de_oasis
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-self_exclusion_dk_rofus-constrainttemplate.yaml betting.self_exclusion_dk_rofus
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-self_exclusion_es_rgiaj-constrainttemplate.yaml betting.self_exclusion_es_rgiaj
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-self_exclusion_nl_cruks-constrainttemplate.yaml betting.self_exclusion_nl_cruks
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-self_exclusion_on_igaming-constrainttemplate.yaml betting.self_exclusion_on_igaming
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-self_exclusion_se_spelpaus-constrainttemplate.yaml betting.self_exclusion_se_spelpaus
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-self-exclusion-uk-gamstop-constrainttemplate.yaml betting.self_exclusion_uk_gamstop
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-self_exclusion_uk_gamstop-constrainttemplate.yaml betting.self_exclusion_uk_gamstop
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-session_time_limits_controls-constrainttemplate.yaml betting.session_time_limits_controls
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-slots_min_spin_speed_uk-constrainttemplate.yaml betting.slots_min_spin_speed_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-slots_no_autoplay_uk-constrainttemplate.yaml betting.slots_no_autoplay_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-slots_no_losses_disguised_as_wins-constrainttemplate.yaml betting.slots_no_losses_disguised_as_wins
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-source_of_funds_checks-constrainttemplate.yaml betting.source_of_funds_checks
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-source-of-funds-thresholds-constrainttemplate.yaml betting.source_of_funds_thresholds
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-suspicious-betting-reporting-uk-constrainttemplate.yaml betting.suspicious_betting_reporting_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/betting-txn-monitoring-anomalies-constrainttemplate.yaml betting.txn_monitoring_anomalies
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-au_app_11_security_edtech-constrainttemplate.yaml edtech.au_app_11_security_edtech
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-au_app_5_notice_edtech-constrainttemplate.yaml edtech.au_app_5_notice_edtech
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-au_ndb_breach_notification_edtech-constrainttemplate.yaml edtech.au_ndb_breach_notification_edtech
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-br_lgpd_children_consent_best_interest-constrainttemplate.yaml edtech.br_lgpd_children_consent_best_interest
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-ca_pipeda_consent_edtech-constrainttemplate.yaml edtech.ca_pipeda_consent_edtech
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-ca_sopipa_no_sale_of_student_data-constrainttemplate.yaml edtech.ca_sopipa_no_sale_of_student_data
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-ca_sopipa_no_targeted_advertising-constrainttemplate.yaml edtech.ca_sopipa_no_targeted_advertising
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-coppa_data_minimization-constrainttemplate.yaml edtech.coppa_data_minimization
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-coppa_delete_on_parent_request-constrainttemplate.yaml edtech.coppa_delete_on_parent_request
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-coppa_parental_consent_under_13-constrainttemplate.yaml edtech.coppa_parental_consent_under_13
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-co_student_data_transparency-constrainttemplate.yaml edtech.co_student_data_transparency
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-ct_student_data_privacy-constrainttemplate.yaml edtech.ct_student_data_privacy
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-edtech_access_least_privilege-constrainttemplate.yaml edtech.edtech_access_least_privilege
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-edtech_audit_logs_student_record_access-constrainttemplate.yaml edtech.edtech_audit_logs_student_record_access
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-edtech_encryption_at_rest-constrainttemplate.yaml edtech.edtech_encryption_at_rest
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-edtech_encryption_in_transit-constrainttemplate.yaml edtech.edtech_encryption_in_transit
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-edtech_retention_after_course_completion-constrainttemplate.yaml edtech.edtech_retention_after_course_completion
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-eu_dpia_high_risk_edtech-constrainttemplate.yaml edtech.eu_dpia_high_risk_edtech
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-eu_eprivacy_cookie_consent_edtech-constrainttemplate.yaml edtech.eu_eprivacy_cookie_consent_edtech
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-eu_gdpr_minors_consent_education-constrainttemplate.yaml edtech.eu_gdpr_minors_consent_education
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-eu_scc_transfers_edplatform-constrainttemplate.yaml edtech.eu_scc_transfers_edplatform
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-ferpa_consent_or_exception_for_disclosure-constrainttemplate.yaml edtech.ferpa_consent_or_exception_for_disclosure
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-ferpa_directory_info_optout_respected-constrainttemplate.yaml edtech.ferpa_directory_info_optout_respected
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-ferpa_parent_access_rights-constrainttemplate.yaml edtech.ferpa_parent_access_rights
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-il_soppa_breach_notification-constrainttemplate.yaml edtech.il_soppa_breach_notification
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-in_dpdpa_children_verifiable_consent-constrainttemplate.yaml edtech.in_dpdpa_children_verifiable_consent
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-kr_pipa_guardian_consent_under_14-constrainttemplate.yaml edtech.kr_pipa_guardian_consent_under_14
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-ny_edlaw2d_encryption_and_contracts-constrainttemplate.yaml edtech.ny_edlaw2d_encryption_and_contracts
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-nz_notice_at_collection_edtech-constrainttemplate.yaml edtech.nz_notice_at_collection_edtech
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-ppra_parental_consent_sensitive_surveys-constrainttemplate.yaml edtech.ppra_parental_consent_sensitive_surveys
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-uk_aadc_privacy_by_default-constrainttemplate.yaml edtech.uk_aadc_privacy_by_default
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/edtech-uk_aadc_profiling_and_geolocation_off-constrainttemplate.yaml edtech.uk_aadc_profiling_and_geolocation_off
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-au_myr_health_privacy-constrainttemplate.yaml medtech.au_myr_health_privacy
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-backup_and_recovery_rto_rpo-constrainttemplate.yaml medtech.backup_and_recovery_rto_rpo
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-ca_phipa_health_data-constrainttemplate.yaml medtech.ca_phipa_health_data
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-device_data_integrity_hashing-constrainttemplate.yaml medtech.device_data_integrity_hashing
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-dicom_network_security_basic-constrainttemplate.yaml medtech.dicom_network_security_basic
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-eu_ivdr_clinical_performance-constrainttemplate.yaml medtech.eu_ivdr_clinical_performance
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-eu_mdr_ce_marking_and_udi-constrainttemplate.yaml medtech.eu_mdr_ce_marking_and_udi
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-eu_mdr_clinical_evaluation-constrainttemplate.yaml medtech.eu_mdr_clinical_evaluation
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-eu_mdr_eudamed_registration-constrainttemplate.yaml medtech.eu_mdr_eudamed_registration
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-eu_mdr_pms_psur-constrainttemplate.yaml medtech.eu_mdr_pms_psur
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-eu_vigilance_incident_reporting-constrainttemplate.yaml medtech.eu_vigilance_incident_reporting
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-fda_cybersecurity_524b_sbom-constrainttemplate.yaml medtech.fda_cybersecurity_524b_sbom
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-fda_mdr_event_reporting-constrainttemplate.yaml medtech.fda_mdr_event_reporting
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-fda_part11_audit_trail-constrainttemplate.yaml medtech.fda_part11_audit_trail
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-fda_part11_esign_linkage-constrainttemplate.yaml medtech.fda_part11_esign_linkage
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-fda_part11_system_validation-constrainttemplate.yaml medtech.fda_part11_system_validation
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-fhir_smart_app_authz-constrainttemplate.yaml medtech.fhir_smart_app_authz
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-gdpr_art9_special_category_safeguards-constrainttemplate.yaml medtech.gdpr_art9_special_category_safeguards
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-health_data_cross_border_controls-constrainttemplate.yaml medtech.health_data_cross_border_controls
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-hipaa_access_audit_logging-constrainttemplate.yaml medtech.hipaa_access_audit_logging
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-hipaa_baa_with_vendors-constrainttemplate.yaml medtech.hipaa_baa_with_vendors
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-hipaa_mfa_privileged_access-constrainttemplate.yaml medtech.hipaa_mfa_privileged_access
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-hipaa_minimum_necessary-constrainttemplate.yaml medtech.hipaa_minimum_necessary
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-hipaa_security_admin_safeguards-constrainttemplate.yaml medtech.hipaa_security_admin_safeguards
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-hipaa_security_tech_encryption-constrainttemplate.yaml medtech.hipaa_security_tech_encryption
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-hitech_breach_notification_60d-constrainttemplate.yaml medtech.hitech_breach_notification_60d
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-iec_62304_scm_prp_processes-constrainttemplate.yaml medtech.iec_62304_scm_prp_processes
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-iec_62304_software_safety_class-constrainttemplate.yaml medtech.iec_62304_software_safety_class
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-iec_62366_usability_summative_eval-constrainttemplate.yaml medtech.iec_62366_usability_summative_eval
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-iso_13485_document_control-constrainttemplate.yaml medtech.iso_13485_document_control
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-iso_14971_risk_management_file-constrainttemplate.yaml medtech.iso_14971_risk_management_file
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-iso_27001_isms_scope_and_controls-constrainttemplate.yaml medtech.iso_27001_isms_scope_and_controls
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-log_retention_for_clinical_events-constrainttemplate.yaml medtech.log_retention_for_clinical_events
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-onc_cures_api_fhir_r4-constrainttemplate.yaml medtech.onc_cures_api_fhir_r4
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-onc_information_blocking_prohibited-constrainttemplate.yaml medtech.onc_information_blocking_prohibited
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-sg_hcsa_pdpa_health_data-constrainttemplate.yaml medtech.sg_hcsa_pdpa_health_data
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-uk_dtac_compliance-constrainttemplate.yaml medtech.uk_dtac_compliance
  - [DUP_ID] /workspaces/rulehub-charts/files/gatekeeper-templates/medtech-uk_mhra_post_market_surveillance-constrainttemplate.yaml medtech.uk_mhra_post_market_surveillance
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-adr_provider_listed_uk-policy.yaml betting.adr_provider_listed_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-ads_bonus_terms_fair_clear-policy.yaml betting.ads_bonus_terms_fair_clear
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-ads_no_minors_targeting-policy.yaml betting.ads_no_minors_targeting
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-affordability_checks_uk-policy.yaml betting.affordability_checks_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-age_verification_before_gambling_uk-policy.yaml betting.age_verification_before_gambling_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-aml_high_risk_country_restrictions-policy.yaml betting.aml_high_risk_country_restrictions
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-aml_sar_reporting_uk-policy.yaml betting.aml_sar_reporting_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-au_iga_no_prohibited_services-policy.yaml betting.au_iga_no_prohibited_services
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-complaints_process_published-policy.yaml betting.complaints_process_published
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-credit_card_gambling_ban_uk-policy.yaml betting.credit_card_gambling_ban_uk
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-data_integrity_audits-policy.yaml betting.data_integrity_audits
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-deposit_limit_controls-policy.yaml betting.deposit_limit_controls
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-game_rules_visible_before_play-policy.yaml betting.game_rules_visible_before_play
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-geofencing_regulated_markets-policy.yaml betting.geofencing_regulated_markets
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-in_play_delay_controls-policy.yaml betting.in_play_delay_controls
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-kyc_onboarding-policy.yaml betting.kyc_onboarding
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-kyc_on_withdrawal-policy.yaml betting.kyc_on_withdrawal
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_adm_it-policy.yaml betting.license_check_adm_it
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_agco_on-policy.yaml betting.license_check_agco_on
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_anj_fr-policy.yaml betting.license_check_anj_fr
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_ca_on_igaming-policy.yaml betting.license_check_ca_on_igaming
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_dgoj_es-policy.yaml betting.license_check_dgoj_es
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_ggl_de-policy.yaml betting.license_check_ggl_de
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_ksa_nl-policy.yaml betting.license_check_ksa_nl
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_mga-policy.yaml betting.license_check_mga
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_spelinspektionen_se-policy.yaml betting.license_check_spelinspektionen_se
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_spillemyndigheden_dk-policy.yaml betting.license_check_spillemyndigheden_dk
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_ukgc-policy.yaml betting.license_check_ukgc
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_us_co_division-policy.yaml betting.license_check_us_co_division
  - [DUP_ID] /workspaces/rulehub-charts/files/kyverno/betting-license_check_us_nj_dge-policy.yaml betting.license_check_us_nj_dge
